codigo,nombre,vbp,di_domestica
325320,"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes",11945.852000000014,9423.932000000012
325411,Fabricación de materias primas para la industria farmacéutica,3922.143000000002,2941.1800000000007
325412,Fabricación de preparaciones farmacéuticas,155679.223,32183.095999999994
325510,Fabricación de pinturas y recubrimientos,24365.670000000006,18490.587999999996
325520,Fabricación de adhesivos,9241.210000000015,6899.725000000001
325610,"Fabricación de jabones, limpiadores y dentífricos",53490.495,21542.393
325620,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador",33479.19699999999,4048.653999999999
325910,Fabricación de tintas para impresión,3059.4279999999994,2907.613000000001
325920,Fabricación de explosivos,2424.095000000003,1347.8000000000004
325991,Fabricación de cerillos,581.629,0.0
325992,"Fabricación de películas, placas y papel fotosensible para fotografía",4309.441999999999,938.7879999999999
325993,Fabricación de resinas de plásticos reciclados,1206.54,1121.149
325999,Fabricación de otros productos químicos,16964.497000000032,6574.997000000005
326110,Fabricación de bolsas y películas de plástico flexible,33130.03699999995,21718.812
326120,"Fabricación de tubería y conexiones, y tubos para embalaje",12074.988000000008,7373.140000000006
326130,Fabricación de laminados de plástico rígido,5257.217000000001,3286.253000000004
326140,Fabricación de espumas y productos de poliestireno,7867.612000000006,5191.55
326150,Fabricación de espumas y productos de uretano,7431.5850000000055,7235.570000000005
326160,Fabricación de botellas de plástico,18112.317000000035,16951.654999999995
326191,Fabricación de productos de plástico para el hogar con y sin reforzamiento,8158.011,768.125
326192,Fabricación de autopartes de plástico con y sin reforzamiento,30459.267000000007,15114.230000000009
326193,Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento,16726.865000000016,7843.852000000015
326194,Fabricación de otros productos de plástico de uso industrial sin reforzamiento,10553.398999999994,9284.537999999999
326198,Fabricación de otros productos de plástico con reforzamiento,2293.433,53.25299999999999
326199,Fabricación de otros productos de plástico sin reforzamiento,13352.676999999985,1149.3749999999995
326211,Fabricación de llantas y cámaras,11969.355000000007,1252.1530000000002
326212,Revitalización de llantas,748.961,0.802
326220,Fabricación de bandas y mangueras de hule y de plástico,7616.058999999998,4099.061000000001
326290,Fabricación de otros productos de hule,8895.490999999995,5350.847000000003
327111,"Fabricación de artículos de alfarería, porcelana y loza",33953.863000000005,1269.2859999999998
327112,Fabricación de muebles de baño,5901.078999999999,1201.7469999999994
327121,Fabricación de ladrillos no refractarios,4367.396000000001,3790.4
327122,Fabricación de azulejos y losetas no refractarias,16705.828000000012,12387.796999999999
327123,Fabricación de productos refractarios,2766.485,899.9229999999998
327211,Fabricación de vidrio,13476.549999999996,7781.813000000006
327212,Fabricación de espejos,1083.7599999999993,124.14600000000006
327213,Fabricación de envases y ampolletas de vidrio,20281.91,16508.189000000013
327214,Fabricación de fibra de vidrio,3384.3539999999985,500.4039999999999
327215,Fabricación de artículos de vidrio de uso doméstico,5786.9710000000005,557.4249999999998
327216,Fabricación de artículos de vidrio de uso industrial y comercial,1079.5539999999992,153.31
327219,Fabricación de otros productos de vidrio,3036.915,2416.831
327310,Fabricación de cemento y productos a base de cemento en plantas integradas,55499.72799999994,53717.897000000004
327320,Fabricación de concreto,20702.946000000007,20702.946000000007
327330,Fabricación de tubos y bloques de cemento y concreto,10118.675000000005,7610.898
327391,Fabricación de productos preesforzados de concreto,4029.233,3934.6100000000006
327399,Fabricación de otros productos de cemento y concreto,1756.1379999999995,413.318
327410,Fabricación de cal,4109.926000000004,4042.508000000001
327420,Fabricación de yeso y productos de yeso,3364.2699999999977,1535.2769999999996
327910,Fabricación de productos abrasivos,2947.4840000000017,1094.543999999999
327991,Fabricación de productos a base de piedras de cantera,4917.137000000008,2002.8279999999995
327999,Fabricación de otros productos a base de minerales no metálicos,4310.134999999996,3386.047000000002
331111,Complejos siderúrgicos,129882.62699999996,103952.49999999999
331112,Fabricación de desbastes primarios y ferroaleaciones,37451.19099999999,17620.716000000004
331210,Fabricación de tubos y postes de hierro y acero,36043.34300000004,28510.34600000003
331220,Fabricación de otros productos de hierro y acero,99709.29900000001,94189.63999999993
331310,Industria básica del aluminio,14339.68600000002,6281.954000000009
331411,Fundición y refinación de cobre,19380.247000000003,13757.69700000001
331412,Fundición y refinación de metales preciosos,30578.089999999997,0.0
331419,Fundición y refinación de otros metales no ferrosos,7252.6539999999995,1281.066
331420,Laminación secundaria de cobre,32740.097999999984,17680.40100000002
331490,Laminación secundaria de otros metales no ferrosos,23564.054000000004,13177.574000000008
331510,Moldeo por fundición de piezas de hierro y acero,13276.669000000005,11020.368000000002
331520,Moldeo por fundición de piezas metálicas no ferrosas,3493.9559999999997,3390.9480000000003
332110,Fabricación de productos metálicos forjados y troquelados,15809.539999999997,9559.047000000011
332211,Fabricación de herramientas de mano metálicas sin motor,10655.768000000007,4026.0390000000034
332212,Fabricación de utensilios de cocina metálicos,2758.074,167.68900000000002
332310,Fabricación de estructuras metálicas,22133.927000000007,14167.785999999995
332320,Fabricación de productos de herrería,23561.17500000001,10404.474000000013
332410,Fabricación de calderas industriales,6174.424999999996,438.90599999999904
332420,Fabricación de tanques metálicos de calibre grueso,6678.421999999999,3382.6909999999993
332430,Fabricación de envases metálicos de calibre ligero,13367.868000000006,8291.176000000001
332510,Fabricación de herrajes y cerraduras,16496.39300000002,775.2799999999992
332610,"Fabricación de alambre, productos de alambre y resortes",17393.357,5950.441000000003
332710,Maquinado de piezas metálicas para maquinaria y equipo en general,10451.028999999995,9900.013999999996
332720,"Fabricación de tornillos, tuercas, remaches y similares",2873.6979999999785,1923.2599999999993
332810,Recubrimientos y terminados metálicos,28258.695000000007,14347.244000000008
332910,Fabricación de válvulas metálicas,22579.027000000006,1180.3549999999996
332991,Fabricación de baleros y rodamientos,2671.467999999999,480.93499999999966
332999,Fabricación de otros productos metálicos,23111.40699999998,4306.232000000002
333111,Fabricación de maquinaria y equipo agrícola,11173.816000000003,343.60799999999983
333112,Fabricación de maquinaria y equipo pecuario,158.2430000000001,61.08699999999999
333120,Fabricación de maquinaria y equipo para la construcción,12668.136000000002,500.962
333130,Fabricación de maquinaria y equipo para la industria extractiva,2794.0660000000044,452.00199999999955
333210,Fabricación de maquinaria y equipo para la industria de la madera,781.7869999999994,106.018
333220,Fabricación de maquinaria y equipo para la industria del hule y del plástico,538.1220000000019,0.0
333291,Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas,3064.9039999999973,127.25100000000005
333292,Fabricación de maquinaria y equipo para la industria textil,998.0690000000013,17.85900000000001
333293,Fabricación de maquinaria y equipo para la industria de la impresión,3770.0740000000005,52.355999999999995
333294,Fabricación de maquinaria y equipo para la industria del vidrio y otros minerales no metálicos,1232.767,279.094
333299,Fabricación de maquinaria y equipo para otras industrias manufactureras,6673.324000000006,1068.6569999999997
333312,"Fabricación de máquinas fotocopiadoras (incluye a la 333311 ""Fabricación de aparatos fotográficos"")",3982.8789999999995,171.04500000000002
333319,Fabricación de otra maquinaria y equipo para el comercio y los servicios,7483.306999999957,1.867
333411,Fabricación de equipo de aire acondicionado y calefacción,21262.562000000013,2994.5980000000022
333412,Fabricación de equipo de refrigeración industrial y comercial,29779.388000000003,6.567000000000003
333510,Fabricación de maquinaria y equipo para la industria metalmecánica,2882.641999999997,359.3019999999999
333610,"Fabricación de motores de combustión interna, turbinas y transmisiones",54663.89999999999,6440.846000000002
333910,Fabricación de bombas y sistemas de bombeo,17199.801,195.52200000000008
333920,Fabricación de maquinaria y equipo para levantar y trasladar,8103.091000000005,62.17100000000001
333991,Fabricación de equipo para soldar y soldaduras,4519.7890000000025,2250.952999999999
333992,Fabricación de maquinaria y equipo para envasar y empacar,385.2619999999999,0.001
333993,Fabricación de aparatos e instrumentos para pesar,478.59100000000007,23.055
333999,Fabricación de otra maquinaria y equipo para la industria en general,19432.199999999986,1608.7499999999993
334110,Fabricación de computadoras y equipo periférico,106270.63100000005,3160.3740000000003
334210,Fabricación de equipo telefónico,30296.696999999996,974.619
334220,"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico",161665.99699999997,2267.3970000000004
334290,Fabricación de otros equipos de comunicación,7610.476999999999,9.883000000000001
334310,Fabricación de equipo de audio y de video,273679.745,278.76599999999996
334410,Fabricación de componentes electrónicos,63332.091000000044,3236.7769999999996
334511,Fabricación de relojes,1662.5870000000002,0.0
334519,"Fabricación de otros instrumentos de medición, control, navegación, y equipo médico electrónico",68941.33999999998,1701.199999999999
334610,Fabricación y reproducción de medios magnéticos y ópticos,8016.832000000003,694.188
