anio,mineral,etapa,valor_total_usd,destino_principal,share_principal,share_china,share_eua,n_destinos
1998,cobre,E3 Semimanufacturas,184281114.0,Estados Unidos,0.8681,0.0042,0.8681,47
1998,cobre,E4 Manufacturas,33740049.0,Estados Unidos,0.9593,0.0,0.9593,33
1998,fluorita,E1 Espato fluor (crudo),25967668.0,Canada,0.3974,0.0,0.1481,17
1998,fluorita,E2 Fluoroquimica,103997078.0,Estados Unidos,0.737,0.0,0.737,17
1998,grafito,E1 Grafito natural,2571031.0,Estados Unidos,0.986,0.0,0.986,4
1998,grafito,E2 Grafito artificial/prep.,12524260.0,Estados Unidos,0.5813,0.0,0.5813,12
1998,grafito,E3 Electrodos/articulos de carbono,47022713.0,Estados Unidos,0.4842,0.0,0.4842,22
1998,manganeso,E1 Mena/concentrado,5560749.0,Estados Unidos,0.4957,0.0,0.4957,17
1998,manganeso,E2 Ferroaleaciones,45119421.0,Estados Unidos,0.8456,0.0,0.8456,14
1998,manganeso,E3 Quimicos/metal,1281013.0,Espana,0.273,0.1069,0.2101,14
1998,oro,E1 Mena/concentrado,5512786.0,socio_58,0.7971,0.0,0.0,3
1998,oro,E2 Bruto/semilabrado,110741498.0,Estados Unidos,0.7728,0.0,0.7728,6
1998,oro-plata (manufacturas),E4 Joyeria/orfebreria,316111214.0,Estados Unidos,0.9464,0.0,0.9464,65
1998,plata,E1 Mena/concentrado,115848.0,Estados Unidos,1.0,0.0,1.0,1
1998,plata,E2 Bruto/semilabrado,425559217.0,Estados Unidos,0.5626,0.0,0.5626,20
1998,plomo,E1 Mena/concentrado,4415557.0,Canada,0.5992,0.0,0.0,3
1998,plomo,E2 Metal en bruto/refinado,38417546.0,Estados Unidos,0.8584,0.0,0.8584,15
1998,plomo,E3 Semimanufacturas,4183.0,Estados Unidos,0.9515,0.0,0.9515,2
1998,plomo,E4 Manufacturas,1828299.0,Estados Unidos,0.7783,0.0,0.7783,10
1998,silice,E1 Arena silica/cuarzo,282720.0,Estados Unidos,0.7127,0.0,0.7127,9
1998,silice,E2 Silicio/ferrosilicio/SiO2,3758113.0,Estados Unidos,0.1689,0.0063,0.1689,25
1998,zinc,E1 Mena/concentrado,71915377.0,socio_58,0.3698,0.0,0.1573,15
1998,zinc,E2 Metal en bruto/refinado,74655631.0,Estados Unidos,0.7114,0.0,0.7114,13
1998,zinc,E3 Semimanufacturas,35625229.0,Estados Unidos,0.9759,0.0,0.9759,11
1998,zinc,E4 Manufacturas,2121948.0,Estados Unidos,0.9221,0.0,0.9221,13
1999,barita,E1 Crudo/molido,1030666.0,Estados Unidos,1.0,0.0,1.0,1
1999,barita,E2 Quimicos de bario,7066859.0,Estados Unidos,0.9954,0.0,0.9954,2
1999,cobre,E1 Mena/concentrado,24479468.0,Peru,0.4051,0.0,0.0855,6
1999,cobre,E2 Metal en bruto/refinado,259030924.0,Estados Unidos,0.9909,0.0,0.9909,10
1999,cobre,E3 Semimanufacturas,266371158.0,Estados Unidos,0.9136,0.0001,0.9136,45
1999,cobre,E4 Manufacturas,38697639.0,Estados Unidos,0.9123,0.0001,0.9123,41
1999,fluorita,E1 Espato fluor (crudo),26503055.0,Estados Unidos,0.4384,0.0,0.4384,13
