anio,pais,pais_nombre,sector,exgr_musd,dva_share,vax_mineria_musd,reproc_domestico_share,crudo_share,foreign_abs_share
2009,FIN,Finlandia,B05_06,26.3,0.7176,60.2,0.8228,0.1772,0.3283
2009,FIN,Finlandia,B07_08,151.1,0.6968,323.4,0.806,0.194,0.4862
2009,FIN,Finlandia,B09,15.0,0.8911,17.0,0.3122,0.6878,0.6486
2009,SWE,Suecia,B05_06,8.1,0.6514,35.1,0.9276,0.0724,0.5559
2009,SWE,Suecia,B07_08,808.2,0.7741,942.6,0.5766,0.4234,0.7388
2009,SWE,Suecia,B09,189.8,0.7935,110.3,0.1558,0.8442,0.8285
2010,MEX,Mexico,B05_06,34583.7,0.9616,36959.6,0.1667,0.8333,0.6011
2010,MEX,Mexico,B07_08,2053.3,0.9073,4581.0,0.6802,0.3198,0.4727
2010,MEX,Mexico,B09,5.8,0.861,421.4,0.2101,0.7899,0.0656
2010,CHL,Chile,B05_06,4.1,0.8621,105.6,0.531,0.469,0.3045
2010,CHL,Chile,B07_08,42921.3,0.8703,29780.8,0.0294,0.9706,0.8515
2010,CHL,Chile,B09,15.6,0.8881,23.9,0.4391,0.5609,0.2627
2010,AUS,Australia,B05_06,46002.2,0.8965,30119.1,0.0954,0.9046,0.6495
2010,AUS,Australia,B07_08,50015.0,0.9078,48094.9,0.3282,0.6718,0.7634
2010,AUS,Australia,B09,120.6,0.9141,3273.5,0.2351,0.7649,0.439
2010,FIN,Finlandia,B05_06,18.3,0.6876,90.6,0.912,0.088,0.3638
2010,FIN,Finlandia,B07_08,246.1,0.6632,436.7,0.76,0.24,0.5313
2010,FIN,Finlandia,B09,8.4,0.7198,13.0,0.6682,0.3318,0.5113
2010,SWE,Suecia,B05_06,17.7,0.6579,49.5,0.887,0.113,0.5286
2010,SWE,Suecia,B07_08,2095.8,0.829,2704.2,0.5159,0.4841,0.7745
2010,SWE,Suecia,B09,191.0,0.8262,127.5,0.137,0.863,0.8334
2011,MEX,Mexico,B05_06,47589.4,0.961,50626.9,0.1606,0.8394,0.5993
2011,MEX,Mexico,B07_08,3424.3,0.9199,7218.8,0.6428,0.3572,0.5299
2011,MEX,Mexico,B09,8.0,0.8603,433.8,0.2225,0.7775,0.0616
2011,CHL,Chile,B05_06,4.7,0.8551,114.1,0.5737,0.4263,0.3053
2011,CHL,Chile,B07_08,46493.1,0.8534,31442.4,0.0344,0.9656,0.8348
2011,CHL,Chile,B09,21.4,0.8743,28.8,0.4037,0.5963,0.2954
2011,AUS,Australia,B05_06,61002.7,0.8935,38120.9,0.0895,0.9105,0.7067
2011,AUS,Australia,B07_08,79129.6,0.8969,59477.3,0.2129,0.7871,0.8369
2011,AUS,Australia,B09,203.3,0.915,5043.2,0.1652,0.8348,0.4816
2011,FIN,Finlandia,B05_06,25.1,0.6454,90.5,0.8959,0.1041,0.3609
2011,FIN,Finlandia,B07_08,302.5,0.6371,464.8,0.7365,0.2635,0.5192
2011,FIN,Finlandia,B09,17.1,0.4722,2.0,0.6128,0.3872,0.5675
2011,SWE,Suecia,B05_06,23.0,0.6584,55.3,0.8761,0.1239,0.5103
2011,SWE,Suecia,B07_08,2579.4,0.8331,3258.0,0.4949,0.5051,0.7656
2011,SWE,Suecia,B09,227.7,0.7274,94.6,0.2029,0.7971,0.7558
2012,MEX,Mexico,B05_06,45366.5,0.961,47979.0,0.1557,0.8443,0.6072
2012,MEX,Mexico,B07_08,3980.8,0.9167,7656.1,0.6123,0.3877,0.5495
2012,MEX,Mexico,B09,9.0,0.8596,388.5,0.2447,0.7553,0.0542
2012,CHL,Chile,B05_06,3.9,0.8454,94.7,0.5146,0.4854,0.2843
2012,CHL,Chile,B07_08,44664.5,0.8371,27857.5,0.03,0.97,0.8292
2012,CHL,Chile,B09,21.0,0.8577,25.8,0.3892,0.6108,0.2999
2012,AUS,Australia,B05_06,52532.6,0.8885,33112.1,0.1309,0.8691,0.6737
2012,AUS,Australia,B07_08,82390.1,0.8853,52988.4,0.1688,0.8312,0.8568
2012,AUS,Australia,B09,169.8,0.9204,5154.3,0.1674,0.8326,0.471
2012,FIN,Finlandia,B05_06,22.0,0.6391,77.9,0.8926,0.1074,0.3367
2012,FIN,Finlandia,B07_08,276.0,0.6361,429.4,0.7402,0.2598,0.5254
2012,FIN,Finlandia,B09,18.8,0.4513,1.9,0.6157,0.3843,0.5704
2012,SWE,Suecia,B05_06,21.3,0.6562,52.9,0.879,0.121,0.5049
2012,SWE,Suecia,B07_08,2224.5,0.8002,2539.7,0.4967,0.5033,0.7613
2012,SWE,Suecia,B09,227.8,0.778,110.3,0.0354,0.9646,0.9479
2013,MEX,Mexico,B05_06,40482.3,0.9638,44202.6,0.1833,0.8167,0.6138
2013,MEX,Mexico,B07_08,3633.9,0.8944,7156.4,0.6648,0.3352,0.5634
2013,MEX,Mexico,B09,11.7,0.857,587.7,0.2724,0.7276,0.08
2013,CHL,Chile,B05_06,20.6,0.8371,75.8,0.4808,0.5192,0.2487
2013,CHL,Chile,B07_08,43471.4,0.8379,26504.5,0.0233,0.9767,0.8621
2013,CHL,Chile,B09,21.9,0.8486,24.4,0.3554,0.6446,0.3099
2013,AUS,Australia,B05_06,54238.5,0.8928,32726.6,0.0743,0.9257,0.6867
2013,AUS,Australia,B07_08,74013.5,0.8955,56961.6,0.241,0.759,0.8088
2013,AUS,Australia,B09,202.2,0.9088,4183.6,0.1828,0.8172,0.4241
2013,FIN,Finlandia,B05_06,17.6,0.6185,57.9,0.9031,0.0969,0.3339
2013,FIN,Finlandia,B07_08,293.7,0.6139,362.2,0.7275,0.2725,0.5877
2013,FIN,Finlandia,B09,19.6,0.4666,1.8,0.5022,0.4978,0.6429
2013,SWE,Suecia,B05_06,18.0,0.6697,42.2,0.8835,0.1165,0.483
2013,SWE,Suecia,B07_08,1933.5,0.7953,2051.1,0.5184,0.4816,0.7416
2013,SWE,Suecia,B09,186.5,0.7903,83.8,0.0271,0.9729,0.9578
2013,CHN,China,B05_06,2763.2,0.8883,57209.4,0.9672,0.0328,0.2041
2013,CHN,China,B07_08,3156.3,0.7764,20511.5,0.9417,0.0583,0.2026
2013,CHN,China,B09,452.0,0.8219,1783.4,0.865,0.135,0.1915
2013,BRA,Brasil,B05_06,12542.9,0.8808,14711.8,0.4018,0.5982,0.282
2013,BRA,Brasil,B07_08,33019.3,0.8738,23491.1,0.1023,0.8977,0.6968
2013,BRA,Brasil,B09,262.2,0.8969,855.6,0.356,0.644,0.3148
2013,PER,Peru,B05_06,1097.4,0.8901,2643.5,0.5377,0.4623,0.4433
